Date,Open,High,Low,Close,Adj Close,Volume
5-Feb-18,234.679993,244,227.600006,228.100006,228.100006,7077600
6-Feb-18,225.619995,240.399994,224.899994,240.380005,240.380005,7774400
7-Feb-18,238.759995,243.100006,237,237.380005,237.380005,4047500
8-Feb-18,237.389999,238.520004,229.509995,229.570007,229.570007,4320000
9-Feb-18,232.789993,237.119995,226.25,235.5,235.5,4328200
12-Feb-18,237.860001,245.479996,237.5,244.399994,244.399994,3506300
13-Feb-18,241.009995,246.029999,240.059998,245.860001,245.860001,2371900
14-Feb-18,245,248.649994,243.479996,247.660004,247.660004,2549100
15-Feb-18,249.279999,251.839996,244.429993,251.830002,251.830002,2554000
16-Feb-18,251.270004,252.369995,248.039993,248.889999,248.889999,3263900
20-Feb-18,248.75,255.740005,247.520004,249.619995,249.619995,4169300
21-Feb-18,252.490005,253.470001,248.449997,248.619995,248.619995,2815600
22-Feb-18,249.119995,253.100006,248.270004,249.350006,249.350006,1934200
23-Feb-18,252.139999,255.029999,250.289993,253.710007,253.710007,1828000
26-Feb-18,251.960007,254.440002,251,252.949997,252.949997,2887800
27-Feb-18,252.089996,255.669998,251.679993,251.809998,251.809998,2117600
28-Feb-18,254.080002,254.490005,245.979996,246.460007,246.460007,2883400
1-Mar-18,245.860001,249.119995,241.309998,243.309998,243.309998,2592400
2-Mar-18,240.429993,251.179993,240.229996,250.869995,250.869995,2740164
